,LP,LR,F1,Exact,N
1,,,,,
pcfg LP/LR summary evalb:,51.61,47.9,49.69,12.59,413
dep DA summary evalb:,74.4,74.4,74.4,18.4,413
factor LP/LR summary evalb:,55.08,52.77,53.9,16.22,413
factor Tag summary evalb:,71.85,73.41,72.62,24.93,413
2,,,,,
pcfg LP/LR summary evalb:,51.78,47.68,49.64,14.59,411
dep DA summary evalb:,74.45,74.45,74.45,19.51,410
factor LP/LR summary evalb:,54.43,51.5,52.92,17.51,411
factor Tag summary evalb:,71.44,72.98,72.2,25.54,411
3,,,,,
pcfg LP/LR summary evalb:,49.25,45.65,47.38,12.06,406
dep DA summary evalb:,74.27,74.27,74.27,17.24,406
factor LP/LR summary evalb:,53.18,51.15,52.15,14.03,406
factor Tag summary evalb:,70.61,72.31,71.45,21.18,406
4,,,,,
pcfg LP/LR summary evalb:,52.55,49.05,50.74,14.42,402
dep DA summary evalb:,74.96,74.96,74.96,22.13,402
factor LP/LR summary evalb:,55.71,53.57,54.62,16.41,402
factor Tag summary evalb:,72.68,74.43,73.55,23.13,402
5,,,,,
pcfg LP/LR summary evalb:,51.03,46.05,48.41,15.9,396
dep DA summary evalb:,74.15,74.15,74.15,20.45,396
factor LP/LR summary evalb:,54,50.6,52.25,15.15,396
factor Tag summary evalb:,70.9,72.72,71.8,22.22,396
6,,,,,
pcfg LP/LR summary evalb:,52.8,49.15,50.91,14,407
dep DA summary evalb:,76.25,76.25,76.25,20.14,407
factor LP/LR summary evalb:,55.51,53.15,54.3,17.44,407
factor Tag summary evalb:,72.55,73.98,73.26,23.58,407
7,,,,,
pcfg LP/LR summary evalb:,48.86,45.21,46.97,13.44,409
dep DA summary evalb:,75.1,75.1,75.1,19.8,409
factor LP/LR summary evalb:,52.27,49.64,50.92,15.15,409
factor Tag summary evalb:,69.52,71.27,70.38,21.02,409
8,,,,,
pcfg LP/LR summary evalb:,50.1,45.81,47.86,11,400
dep DA summary evalb:,75.17,75.17,75.17,22.75,400
factor LP/LR summary evalb:,53.68,50.69,52.14,14.25,400
factor Tag summary evalb:,69.75,71.32,70.52,25,400
9,,,,,
pcfg LP/LR summary evalb:,52.28,48.49,50.32,11.35,405
dep DA summary evalb:,75.43,75.43,75.43,19.5,405
factor LP/LR summary evalb:,56.42,54.43,55.41,12.59,405
factor Tag summary evalb:,72.82,74.36,73.58,24.93,405
10,,,,,
pcfg LP/LR summary evalb:,55.37,51.91,53.59,13.86,411
dep DA summary evalb:,75.75,75.75,75.75,20.48,410
factor LP/LR summary evalb:,59.41,57.49,58.43,16.54,411
factor Tag summary evalb:,76.06,77.33,76.69,22.87,411
